brand;corporation short;corporation;country
Abarth;Stellantis;Stellantis;France
Acura;Honda;Honda Motor Co;Japan
Alfa Romeo;Stellantis;Stellantis;France
Alpina;BMW;BMW Group;Germany
Alpine;ReNiMi;Renault Nissan Mitsubish Alliance;France
Aston Martin;Aston Martin;Aston Martin Lagonda Group Limited;UK
Audi;Volkswagen;Volkswagen AG;Germany
Bentley;Volkswagen;Volkswagen AG;Germany
BMW;BMW;BMW Group;Germany
Buick;GM;General Motors;USA
BYD;BYD;BYD;China
Cadillac;GM;General Motors;USA
Chevrolet;GM;General Motors;USA
Chrysler;Stellantis;Stellantis;France
Citroen;Stellantis;Stellantis;France
Cupra;Volkswagen;Volkswagen AG;Germany
Dacia;ReNiMi;Renault Nissan Mitsubish Alliance;France
DAIHATSU;Toyota;Toyota Motor Corporation;Japan
DAEWOO;GM;General Motors;USA
Dodge;Stellantis;Stellantis;France
DS;Stellantis;Stellantis;France
Ferrari;Ferrari;Ferrari NV;Italy
Fiat;Stellantis;Stellantis;France
Ford;Ford;Ford Motor Company;USA
Genesis;Hyundai;Hyundai Motor Group;South Korea
GMC;GM;General Motors;USA
Honda;Honda;Honda Motor Co;Japan
HYMER;Thor;Thor industries;USA
Hyundai;Hyundai;Hyundai Motor Group;South Korea
Infiniti;ReNiMi;Renault Nissan Mitsubish Alliance;France
Jaguar;Tata;Tata Motors;India
Jeep;Stellantis;Stellantis;France
Kia;Hyundai ;Hyundai Motor Group;South Korea
Lancia;Stellantis;Stellantis;France
Lamborghini;Volkswagen;Volkswagen AG;Germany
Land Rover;Tata;Tata Motors;India
LEVC;Geely;Zhejiang Geely Holding Group;China
Lexus;Toyota;Toyota Motor Corporation;Japan
Lincoln;Ford;Ford Motor Company;USA
Lotus;Geely;Zhejiang Geely Holding Group;China
Lucid;Lucid;Lucid Group;USA
Lynk&Co;Geely;Zhejiang Geely Holding Group;China
Maserati;Stellantis;Stellantis;France
Mazda;Mazda;Mazda Motor Corporation;Japan
Mercedes-Benz;Mercedes;Mercedes-Benz Group AG;Germany
MG;SAIC;SAIC Motor Corporation;China
MINI;BMW;BMW Group;Germany
Mitsubishi;ReNiMi;Renault Nissan Mitsubish Alliance;France
Nissan;ReNiMi;Renault Nissan Mitsubish Alliance;France
Opel;Stellantis;Stellantis;France
Peugeot;Stellantis;Stellantis;France
Polestar;Geely;Zhejiang Geely Holding Group;China
Porsche;Volkswagen;Volkswagen AG;Germany
Ram;Stellantis;Stellantis;France
Renault;ReNiMi;Renault Nissan Mitsubish Alliance;France
Rivian;Rivian;Rivian;USA
Rolls-Royce;BMW;BMW Group;Germany
Rover;Tata;Tata Motors;India
SAAB;SAAB;SAAB;Sweden
Seat;Volkswagen;Volkswagen AG;Germany
Skoda;Volkswagen;Volkswagen AG;Germany
Smart;Mercedes;Mercedes-Benz Group AG;Germany
SsangYong;Mahindra;Mahindra Group;India
Subaru;Subaru;Subaru Corporation;Japan
Suzuki;Suzuki;Suzuki Motor Corporation;Japan
Tesla;Tesla;Tesla Inc;USA
Toyota;Toyota;Toyota Motor Corporation;Japan
Vauxhall;Stellantis;Stellantis;France
VinFast;Vingroup;Vingroup;Vietnam
Volkswagen;Volkswagen;Volkswagen AG;Germany
Volvo;Geely;Zhejiang Geely Holding Group;China
